,FutureID,ContractNum,Position,Value,Win
20190709,,290.0106988445434,,113655.77289857426,False
20190710,,290.0106988445434,,113655.77289857426,False
20190711,,290.0106988445434,,113655.77289857426,False
20190712,SH510300,297.4538378457068,long,114817.18140844283,True
20190715,SH510300,297.4538378457068,long,115114.63524628854,True
20190716,,297.4538378457068,,114788.4771130907,True
20190717,,297.4538378457068,,114788.4771130907,True
20190718,SH510300,299.6339090503894,long,114460.15325724875,False
20190719,,299.6339090503894,,114731.09721950756,False
20190722,,299.6339090503894,,114731.09721950756,False
20190723,,299.6339090503894,,114731.09721950756,False
20190724,,299.6339090503894,,114731.09721950756,False
20190725,SH510300,296.38868634135406,long,115887.97635946944,True
20190726,,296.38868634135406,,115266.37518704003,True
20190729,SH510300,294.72523221378805,long,115237.56579559113,False
20190730,,294.72523221378805,,115208.75640414223,False
20190731,SH510300,294.5779064291273,long,114885.38350735966,False
20190801,,294.5779064291273,,114267.65363757778,False
20190802,,294.5779064291273,,114267.65363757778,False
20190805,,294.5779064291273,,114267.65363757778,False
20190806,,294.5779064291273,,114267.65363757778,False
20190807,,294.5779064291273,,114267.65363757778,False
20190808,SH510300,308.75430774084253,long,115165.35678733425,True
20190809,SH510300,308.75430774084253,long,114239.09386411174,False
20190812,,308.75430774084253,,114519.21120980961,False
20190813,SH510300,306.945277647906,long,114183.64328502103,False
20190814,,306.945277647906,,115689.44008084225,False
20190815,,306.945277647906,,115689.44008084225,False
20190816,,306.945277647906,,115689.44008084225,False
20190819,,306.945277647906,,115689.44008084225,False
20190820,,306.945277647906,,115689.44008084225,False
20190821,SH510300,301.1992837229293,long,115660.52494960485,False
20190822,SH510300,301.1992837229293,long,115961.72423332778,False
20190823,,301.1992837229293,,115932.73380226945,False
20190826,SH510300,303.41297869843913,long,116207.17084150219,True
20190827,,303.41297869843913,,116784.79329969935,True
20190828,SH510300,301.69406821343586,long,116453.91033038624,False
20190829,,301.69406821343586,,116726.41549750004,False
20190830,,301.69406821343586,,116726.41549750004,False
20190902,SH510300,302.32445903420523,long,117906.53902334004,True
20190903,SH510300,302.32445903420523,long,118208.86348237426,False
20190904,SH510300,302.32445903420523,long,119720.48577754528,True
20190905,SH510300,302.32445903420523,long,120627.4591546479,True
20190906,SH510300,302.32445903420523,long,121534.4325317505,True
20190909,,302.32445903420523,,122410.7955573759,True
20190910,,302.32445903420523,,122410.7955573759,True
20190911,,302.32445903420523,,122410.7955573759,True
20190912,,302.32445903420523,,122410.7955573759,True
20190916,,302.32445903420523,,122410.7955573759,True
20190917,,302.32445903420523,,122410.7955573759,True
20190918,,302.32445903420523,,122410.7955573759,True
20190919,SH510300,307.48794097298764,long,122687.68844822208,True
20190920,,307.48794097298764,,122657.01652611,True
20190923,,307.48794097298764,,122657.01652611,True
20190924,,307.48794097298764,,122657.01652611,True
20190925,,307.48794097298764,,122657.01652611,True
20190926,SH510300,310.4464808509518,long,121384.57401272215,False
20190927,,310.4464808509518,,121354.22786921897,False
20190930,,310.4464808509518,,121354.22786921897,False
20191008,,310.4464808509518,,121354.22786921897,False
20191009,SH510300,312.69045591493614,long,121949.27780682509,True
20191010,,312.69045591493614,,121918.79048737336,True
20191011,SH510300,309.36121423292235,long,123125.7632647031,True
20191014,,309.36121423292235,,123713.54957174565,True
20191015,SH510300,308.43548357734915,long,123374.19343093966,False
20191016,,308.43548357734915,,123343.34988258193,False
20191017,,308.43548357734915,,123343.34988258193,False
20191018,,308.43548357734915,,123343.34988258193,False
20191021,,308.43548357734915,,123343.34988258193,False
20191022,,308.43548357734915,,123343.34988258193,False
20191023,,308.43548357734915,,123343.34988258193,False
20191024,,308.43548357734915,,123343.34988258193,False
20191025,SH510300,313.7723199800099,long,124253.83871208392,True
20191028,,313.7723199800099,,124536.46912930594,True
20191029,,313.7723199800099,,124536.46912930594,True
20191030,SH510300,313.615473031757,long,123878.11184754402,False
20191031,,313.615473031757,,124160.67938874563,False
20191101,SH510300,315.0498654238613,long,126965.09576581612,True
20191104,SH510300,315.0498654238613,long,127280.14563123998,True
20191105,SH510300,315.0498654238613,long,127910.24536208769,True
20191106,SH510300,315.0498654238613,long,127280.14563123998,False
20191107,SH510300,315.0498654238613,long,127595.19549666383,True
20191108,SH510300,315.0498654238613,long,126965.09576581612,False
20191111,,315.0498654238613,,126303.41228595964,False
20191112,,315.0498654238613,,126303.41228595964,False
20191113,,315.0498654238613,,126303.41228595964,False
20191114,,315.0498654238613,,126303.41228595964,False
20191115,,315.0498654238613,,126303.41228595964,False
20191118,,315.0498654238613,,126303.41228595964,False
20191119,SH510300,318.06509905510933,long,127544.10472109883,True
20191120,SH510300,318.06509905510933,long,126271.8443248784,False
20191121,SH510300,318.06509905510933,long,125635.71412676819,False
20191122,SH510300,318.06509905510933,long,124363.45373054774,False
20191125,SH510300,318.06509905510933,long,125317.64902771307,True
20191126,SH510300,318.06509905510933,long,125317.64902771307,False
20191127,,318.06509905510933,,125286.31961545614,False
20191128,,318.06509905510933,,125286.31961545614,False
20191129,,318.06509905510933,,125286.31961545614,False
20191202,SH510300,321.9923029922626,long,125576.99816698239,True
20191203,,321.9923029922626,,125223.69211252414,True
20191204,,321.9923029922626,,125223.69211252414,True
20191205,,321.9923029922626,,125223.69211252414,True
20191206,SH510300,317.74719292898635,long,126145.6355928076,True
20191209,,317.74719292898635,,126114.09918390939,True
20191210,,317.74719292898635,,126114.09918390939,True
20191211,,317.74719292898635,,126114.09918390939,True
20191212,,317.74719292898635,,126114.09918390939,True
20191213,SH510300,321.6392309675372,long,127690.77469411228,True
20191216,SH510300,321.6392309675372,long,128012.4139250798,True
20191217,,321.6392309675372,,127980.41082159852,True
20191218,,321.6392309675372,,127980.41082159852,True
20191219,,321.6392309675372,,127980.41082159852,True
20191220,,321.6392309675372,,127980.41082159852,True
20191223,,321.6392309675372,,127980.41082159852,True
20191224,SH510300,323.1020800900747,long,128594.62787584974,True
20191225,,323.1020800900747,,128562.47921888078,True
20191226,SH510300,322.1311945669742,long,129496.74021592362,True
20191227,SH510300,322.1311945669742,long,129496.74021592362,False
20191230,SH510300,322.1311945669742,long,131429.52738332548,True
20191231,SH510300,322.1311945669742,long,132073.78977245942,True
20200102,,322.1311945669742,,132684.872648553,True
20200103,SH510300,318.8743022142373,long,132013.9611166942,False
20200106,,318.8743022142373,,131662.16304277637,False
20200107,SH510300,318.71490491245555,long,132585.40044358151,True
20200108,SH510300,318.71490491245555,long,130991.82591901925,False
20200109,,318.71490491245555,,131914.98364109814,False
20200110,,318.71490491245555,,131914.98364109814,False
20200113,,318.71490491245555,,131914.98364109814,False
20200114,,318.71490491245555,,131914.98364109814,False
20200115,,318.71490491245555,,131914.98364109814,False
20200116,,318.71490491245555,,131914.98364109814,False
20200117,,318.71490491245555,,131914.98364109814,False
20200120,,318.71490491245555,,131914.98364109814,False
20200121,,318.71490491245555,,131914.98364109814,False
