,Date,FutureID,ContractNum,Action,Price,Profit,Amount,Fee
20190314,20190314,SH510300,288.41642795147715,close_pos,3.7,-1180.3442313913984,106687.39982246106,26.678519585511637
20190322,20190322,SH510300,279.2165828240873,long,3.82,,106660.73463880135,26.665183659701142
20190325,20190325,SH510300,279.2165828240873,close_pos,3.77,-1422.3990770515957,105238.33556174976,26.316162931170233
20190326,20190326,SH510300,280.56542014296355,long,3.75,,105212.03255361132,26.30300813843496
20190327,20190327,SH510300,280.56542014296355,close_pos,3.71,-1148.284123290112,104063.74843032121,26.02244271825987
20190328,20190328,SH510300,280.4251724948041,long,3.71,,104037.73899557232,26.00943474889209
20190403,20190403,SH510300,280.4251724948041,close_pos,3.94,6422.157087889747,110459.89608346207,27.621879490738205
20190410,20190410,SH510300,273.3472475531168,long,4.04,,110432.28801145918,27.608072002884
20190411,20190411,SH510300,273.3472475531168,close_pos,4.07,792.2286602208333,111224.51667168002,27.813082438529634
20190426,20190426,SH510300,283.66509564364014,long,3.92,,111196.71749230694,27.799179373076186
20190429,20190429,SH510300,283.66509564364014,close_pos,3.89,-878.5817174822587,110318.13577482468,27.586430551344005
20190430,20190430,SH510300,283.523298545093,long,3.89,,110290.56313404118,27.57264078350272
20190506,20190506,SH510300,283.523298545093,close_pos,3.78,-3145.5492357085604,107145.01389833262,26.792951712511286
20190509,20190509,SH510300,294.2808635707354,long,3.64,,107118.23433974768,26.77955858493806
20190510,20190510,SH510300,294.2808635707354,close_pos,3.64,-26.779558584923507,107091.45478116276,26.77955858493692
20190516,20190516,SH510300,288.58406633156466,long,3.71,,107064.68860901048,26.76617215227452
20190517,20190517,SH510300,288.58406633156466,close_pos,3.73,550.2576684777014,107614.94627748818,26.910464185418405
20190522,20190522,SH510300,294.7617788086901,long,3.65,,107588.0492651719,26.897012316287146
20190523,20190523,SH510300,294.7617788086901,close_pos,3.62,-910.9612774082634,106677.08798776363,26.675940982186454
20190528,20190528,SH510300,293.8028247421991,long,3.63,,106650.42538141827,26.662606345358654
20190531,20190531,SH510300,293.8028247421991,close_pos,3.64,267.0667676906596,106917.49214910893,26.73605705154012
20190603,20190603,SH510300,293.65596004600206,long,3.64,,106890.76945674475,26.722692364186514
20190604,20190604,SH510300,293.65596004600206,close_pos,3.64,-26.722692364171962,106864.04676438058,26.722692364186187
20190606,20190606,SH510300,296.7703817500641,long,3.6,,106837.33743002306,26.70933435751067
20190610,20190610,SH510300,296.7703817500641,close_pos,3.58,-620.101712666743,106217.23571735632,26.560949166630735
20190611,20190611,SH510300,293.34444211421265,long,3.62,,106190.68804534498,26.547672011336545
20190613,20190613,SH510300,293.34444211421265,close_pos,3.7,2319.621176018147,108510.30922136313,27.134360895564672
20190617,20190617,SH510300,296.4021541646367,long,3.66,,108483.18842425704,27.12079710609396
20190619,20190619,SH510300,296.4021541646367,close_pos,3.77,3232.4877927809866,111715.67621703802,27.935903030017013
20190627,20190627,SH510300,292.3763201007026,long,3.82,,111687.7542784684,27.92193856961967
20190701,20190701,SH510300,292.3763201007026,close_pos,3.92,2895.1103216371557,114582.86460010556,28.652879369868856
20190703,20190703,SH510300,290.0106988445434,long,3.95,,114554.22604359465,28.63855651090853
20190704,20190704,SH510300,290.0106988445434,close_pos,3.92,-898.453145020394,113655.77289857426,28.421048486765255
20190712,20190712,SH510300,297.4538378457068,long,3.82,,113627.36605706,28.406841514253756
20190716,20190716,SH510300,297.4538378457068,close_pos,3.86,1161.1110560306988,114788.4771130907,28.704295352110705
20190718,20190718,SH510300,299.6339090503894,long,3.83,,114759.78716629914,28.68994679156458
20190719,20190719,SH510300,299.6339090503894,close_pos,3.83,-28.689946791579132,114731.09721950756,28.689946791574783
20190725,20190725,SH510300,296.38868634135406,long,3.87,,114702.42161410402,28.675605403535883
20190726,20190726,SH510300,296.38868634135406,close_pos,3.89,563.9535729360068,115266.37518704003,28.823799746696682
20190729,20190729,SH510300,294.72523221378805,long,3.91,,115237.56579559113,28.809391448899987
20190730,20190730,SH510300,294.72523221378805,close_pos,3.91,-28.809391448899987,115208.75640414223,28.809391448897784
20190731,20190731,SH510300,294.5779064291273,long,3.91,,115179.96141378878,28.794990353446337
20190801,20190801,SH510300,294.5779064291273,close_pos,3.88,-912.3077762110042,114267.65363757778,28.574056923625353
20190808,20190808,SH510300,308.75430774084253,long,3.7,,114239.09386411174,28.559773466040497
20190812,20190812,SH510300,308.75430774084253,close_pos,3.71,280.1173456978722,114519.21120980961,28.636962042963148
20190813,20190813,SH510300,306.945277647906,long,3.73,,114490.58856266893,28.62264714068442
20190814,20190814,SH510300,306.945277647906,close_pos,3.77,1198.8515181733237,115689.44008084225,28.929592418315142
20190821,20190821,SH510300,301.1992837229293,long,3.84,,115660.52494960485,28.91513123740151
20190823,20190823,SH510300,301.1992837229293,close_pos,3.85,272.20885266459663,115932.73380226945,28.990431058331946
20190826,20190826,SH510300,303.41297869843913,long,3.82,,115903.75786280374,28.97593946570123
20190827,20190827,SH510300,303.41297869843913,close_pos,3.85,881.0354368956032,116784.79329969935,29.203499199724767
20190828,20190828,SH510300,301.69406821343586,long,3.87,,116755.60439859968,29.18890109966742
20190829,20190829,SH510300,301.69406821343586,close_pos,3.87,-29.188901099638315,116726.41549750004,29.18890109964992
20190902,20190902,SH510300,302.32445903420523,long,3.86,,116697.24118720322,29.174310296817566
20190909,20190909,SH510300,302.32445903420523,close_pos,4.05,5713.554370172671,122410.7955573759,30.610351477213282
20190919,20190919,SH510300,307.48794097298764,long,3.98,,122380.20050724909,30.59505012680893
20190920,20190920,SH510300,307.48794097298764,close_pos,3.99,276.8160188609181,122657.01652611,30.671922112055515
20190926,20190926,SH510300,310.4464808509518,long,3.95,,122626.35993612595,30.656589984049788
20190927,20190927,SH510300,310.4464808509518,close_pos,3.91,-1272.1320669069828,121354.22786921897,30.34614350318054
20191009,20191009,SH510300,312.69045591493614,long,3.88,,121323.89689499523,30.330974223747035
20191010,20191010,SH510300,312.69045591493614,close_pos,3.9,594.8935923781391,121918.79048737336,30.487319451706274
20191011,20191011,SH510300,309.36121423292235,long,3.94,,121888.31840777141,30.472079601953737
20191014,20191014,SH510300,309.36121423292235,close_pos,4.0,1825.2311639742402,123713.54957174565,30.936121423292235
20191015,20191015,SH510300,308.43548357734915,long,4.01,,123682.628914517,30.92065722864936
20191016,20191016,SH510300,308.43548357734915,close_pos,4.0,-339.2790319350752,123343.34988258193,30.843548357734917
20191025,20191025,SH510300,313.7723199800099,long,3.93,,123312.52175214389,30.82813043803617
20191028,20191028,SH510300,313.7723199800099,close_pos,3.97,1223.9473771620542,124536.46912930594,31.141902758015988
20191030,20191030,SH510300,313.615473031757,long,3.97,,124505.34279360753,31.12633569841273
20191031,20191031,SH510300,313.615473031757,close_pos,3.96,-344.66340486190165,124160.67938874563,31.047931830143945
20191101,20191101,SH510300,315.0498654238613,long,3.94,,124129.64697700136,31.03241174426512
20191111,20191111,SH510300,315.0498654238613,close_pos,4.01,2173.7653089582745,126303.41228595964,31.583749008742096
20191119,20191119,SH510300,318.06509905510933,long,3.97,,126271.8443248784,31.567961081236717
20191127,20191127,SH510300,318.06509905510933,close_pos,3.94,-985.5247094222577,125286.31961545614,31.329412256928272
20191202,20191202,SH510300,321.9923029922626,long,3.89,,125255.00586399014,31.31375146600476
