	年化收益	年化波动	收益波动比	最大回撤	总费率	总交易天数	总换仓次数
有色金属ETF_maL_10_OnlyLong_Jump_longBars3	0.27936277	0.09018348	3.097715565	0.044698329	0.341040875	490	293
芯片ETF_maL_10_OnlyLong_Jump_longBars3	1.123404103	0.230506933	4.873623922	0.080554769	0.204976117	123	87
证券ETF_maL_10_OnlyLong_Jump_longBars3	0.353434791	0.160617534	2.200474523	0.118831161	0.333101599	488	264
银行ETF_maL_10_OnlyLong_Jump_longBars3	0.208196197	0.083215456	2.501893358	0.043428243	0.428987764	488	260
黄金ETF_maL_10_OnlyLong_Jump_longBars3	0.032805607	0.038572981	0.850481512	0.0236039	0.849672645	491	259
300ETF_maL_10_BiDirection_Jump_longBars3	0.281968743	0.114056879	2.472176552	0.055980243	0.486521675	491	492
500ETF_maL_10_BiDirection_Jump_longBars3	0.257516725	0.131016402	1.965530428	0.07124063	0.494039579	491	492
50ETF_maL_10_BiDirection_Jump_longBars3	0.275243329	0.102470309	2.686078843	0.050284793	0.50304731	491	492
5GETF_maL_10_BiDirection_Jump_longBars3	0.360054016	0.244220316	1.474300013	0.166690201	0.484884741	200	200
H股ETF_maL_10_BiDirection_Jump_longBars3	0.251677098	0.073342273	3.431542125	0.025022004	0.493839195	491	478
TMTETF_maL_10_BiDirection_Jump_longBars3	0.488479139	0.146256841	3.339872079	0.096823634	0.316840511	490	411
XFETF_maL_10_BiDirection_Jump_longBars3	0.314063157	0.137002822	2.292384584	0.065662885	0.493690692	491	490
军工ETF_maL_10_BiDirection_Jump_longBars3	0.381062014	0.144778433	2.632035774	0.053561568	0.388854365	491	475
军工龙头ETF_maL_10_BiDirection_Jump_longBars3	0.602652019	0.173720313	3.469093557	0.039869518	0.338778046	230	230
创业50_maL_10_BiDirection_Jump_longBars3	0.44085348	0.151040728	2.918772205	0.07951599	0.358649054	491	477
创业板_maL_10_BiDirection_Jump_longBars3	0.493833023	0.134961277	3.659071961	0.052432747	0.338060728	491	492
券商ETF_maL_10_BiDirection_Jump_longBars3	0.350067034	0.179168654	1.953840846	0.102252604	0.454142965	491	483
新能源车ETF_maL_10_BiDirection_Jump_longBars3	1.044573956	0.178730149	5.844419423	0.046665963	0.247047791	107	107
有色金属ETF_maL_10_BiDirection_Jump_longBars3	0.300693364	0.103782232	2.89734916	0.043235098	0.423433238	491	486
芯片ETF_maL_10_BiDirection_Jump_longBars3	1.025297383	0.274544003	3.734546644	0.061650073	0.279164597	124	125
证券ETF_maL_10_BiDirection_Jump_longBars3	0.27806034	0.184546075	1.506725835	0.119602296	0.521773742	491	487
银行ETF_maL_10_BiDirection_Jump_longBars3	0.244335488	0.093559133	2.611562134	0.03564364	0.519502602	491	478
黄金ETF_maL_10_BiDirection_Jump_longBars3	0.107923572	0.047582768	2.268123	0.029256154	0.741411663	491	458
300ETF_maL_20_OnlyLong_Jump_longBars3	0.198313419	0.104103382	1.904966159	0.058066541	0.507171789	487	331
500ETF_maL_20_OnlyLong_Jump_longBars3	0.2706011	0.097400634	2.778227303	0.06000186	0.410289985	489	344
50ETF_maL_20_OnlyLong_Jump_longBars3	0.211203536	0.092612274	2.280513456	0.048224504	0.492725683	487	326
5GETF_maL_20_OnlyLong_Jump_longBars3	0.461999691	0.170768847	2.705409679	0.06132875	0.342984703	198	137
H股ETF_maL_20_OnlyLong_Jump_longBars3	0.074184107	0.069667296	1.064834021	0.047378433	0.690515009	489	285
TMTETF_maL_20_OnlyLong_Jump_longBars3	0.428355793	0.106829077	4.009730359	0.069476418	0.258680652	485	252
XFETF_maL_20_OnlyLong_Jump_longBars3	0.434349134	0.103949703	4.178454793	0.042275924	0.32891893	489	335
军工ETF_maL_20_OnlyLong_Jump_longBars3	0.267292175	0.137791241	1.939834297	0.074216173	0.396394898	487	287
军工龙头ETF_maL_20_OnlyLong_Jump_longBars3	0.428881921	0.161586722	2.654190377	0.052523524	0.332824916	230	160
创业50_maL_20_OnlyLong_Jump_longBars3	0.408782479	0.12774531	3.199980332	0.054657022	0.293980325	487	288
