StockID,Date,Time,open,close,high,low,vol,OI,SettleDate
IH1906,20190425,0:00:00,2954.8,2923,2968,2922,9454,19865,20190621
IH1909,20190425,0:00:00,2945,2919.2,2964.2,2918,2197,7704,20190920
IH1912,20190426,0:00:00,2911.6,2885,2931.8,2885,317,637,20191220
IH1905,20190426,0:00:00,2923.8,2898.4,2943,2898.4,42437,33923,20190517
IH1906,20190426,0:00:00,2910,2883.2,2928.8,2883.2,9369,20310,20190621
IH1909,20190426,0:00:00,2906.2,2880,2924,2880,2435,8001,20190920
IH1912,20190429,0:00:00,2906,2932.2,2966,2898,1171,845,20191220
IH1905,20190429,0:00:00,2915.8,2944.6,2979.8,2911,50277,36074,20190517
IH1906,20190429,0:00:00,2899.4,2930,2967.6,2896,13884,21231,20190621
IH1909,20190429,0:00:00,2893.2,2924,2959,2891.8,3026,7878,20190920
IH1912,20190430,0:00:00,2920.4,2938.2,2943.2,2908.2,382,670,20191220
IH1905,20190430,0:00:00,2935.2,2952.2,2960,2926.2,39607,32213,20190517
IH1906,20190430,0:00:00,2924,2938.6,2945.8,2913,8519,20321,20190621
IH1909,20190430,0:00:00,2915.2,2934,2939,2906,1845,7833,20190920
IH1912,20190506,0:00:00,2859.2,2791,2870.4,2756.2,376,687,20191220
IH1905,20190506,0:00:00,2858.6,2800.6,2883.8,2768,56211,39474,20190517
IH1906,20190506,0:00:00,2845,2783,2873.2,2753.2,15827,22033,20190621
IH1909,20190506,0:00:00,2865,2780.2,2869.6,2750.4,4414,8787,20190920
IH1912,20190507,0:00:00,2820,2795.8,2827,2770,296,684,20191220
IH1905,20190507,0:00:00,2825,2810,2841,2780.2,48157,34593,20190517
IH1906,20190507,0:00:00,2806,2794.6,2827.4,2765.8,13291,21192,20190621
IH1909,20190507,0:00:00,2802.2,2789.6,2823.6,2762.8,2657,8392,20190920
IH1912,20190508,0:00:00,2726.2,2757.2,2788.6,2726.2,414,858,20191220
IH1905,20190508,0:00:00,2760.4,2766.6,2801.6,2755,43520,34985,20190517
IH1906,20190508,0:00:00,2741,2749.6,2786.2,2738.6,10804,21130,20190621
IH1909,20190508,0:00:00,2724.8,2745.6,2781.6,2724.8,2353,8353,20190920
IH1912,20190509,0:00:00,2740.8,2689.4,2745.2,2672.2,1021,1169,20191220
IH1905,20190509,0:00:00,2751,2702.4,2757.4,2682.2,49769,36847,20190517
IH1906,20190509,0:00:00,2735,2685.2,2741.6,2667.2,15017,23147,20190621
IH1909,20190509,0:00:00,2733.8,2683.2,2738.4,2662.2,3497,8867,20190920
IH1912,20190510,0:00:00,2729.2,2771,2781.6,2676,910,1011,20191220
IH1905,20190510,0:00:00,2744.6,2785,2802,2690,60621,37753,20190517
IH1906,20190510,0:00:00,2720,2767.6,2782,2672.8,19448,22882,20190621
IH1909,20190510,0:00:00,2711.2,2765.6,2774.8,2670,3983,8537,20190920
IH1912,20190513,0:00:00,2730.4,2721,2747.2,2712.2,549,1035,20191220
IH1905,20190513,0:00:00,2751,2740.8,2763.8,2729.2,35056,32119,20190517
IH1906,20190513,0:00:00,2735,2723,2746,2713.2,12599,21201,20190621
IH1909,20190513,0:00:00,2742,2715.6,2742,2706.8,1926,8338,20190920
IH1912,20190514,0:00:00,2699.4,2701.8,2750.6,2699.4,306,1028,20191220
IH1905,20190514,0:00:00,2720.4,2721.4,2768.8,2715.8,42080,31308,20190517
IH1906,20190514,0:00:00,2710.4,2704.4,2749.4,2701,13977,22713,20190621
IH1909,20190514,0:00:00,2692,2697.2,2742.6,2685,2595,8650,20190920
IH1912,20190515,0:00:00,2729.8,2761,2774,2723.4,320,1074,20191220
IH1905,20190515,0:00:00,2746.2,2779,2796.4,2740.2,36428,23105,20190517
IH1906,20190515,0:00:00,2729.6,2761.2,2777.6,2723.6,18271,24783,20190621
IH1909,20190515,0:00:00,2719.4,2754,2769.4,2718.8,3005,8824,20190920
IH1912,20190516,0:00:00,2751.2,2766.2,2768.8,2743.6,221,1049,20191220
IH1905,20190516,0:00:00,2761,2785.6,2790.8,2760,23145,13602,20190517
IH1906,20190516,0:00:00,2752,2769.4,2773,2745.8,23617,31714,20190621
IH1909,20190516,0:00:00,2745,2760.6,2765,2739.2,2084,8674,20190920
IH1912,20190517,0:00:00,2779.8,2717,2779.8,2705.2,446,1275,20191220
IH1905,20190517,0:00:00,2785.4,2743.8,2794.8,2737,11376,4041,20190517
IH1906,20190517,0:00:00,2774.6,2720,2777,2710.2,40671,41186,20190621
IH1909,20190517,0:00:00,2763,2709,2769.8,2700,4514,10561,20190920
IH1906,20190520,0:00:00,2720.6,2695.2,2735.4,2677.4,49034,44631,20190621
IH1907,20190520,0:00:00,2704.8,2676.8,2719.8,2662.2,754,708,20190719
IH1909,20190520,0:00:00,2707.6,2685.6,2723.2,2668.2,5212,10865,20190920
IH1912,20190520,0:00:00,2716.4,2692.2,2726,2673.6,450,1255,20191220
IH1906,20190521,0:00:00,2704.4,2713,2746.8,2697.6,45417,43736,20190621
IH1907,20190521,0:00:00,2687.6,2694.8,2726.2,2680,822,1024,20190719
IH1909,20190521,0:00:00,2690.4,2702.2,2735,2688,4751,10743,20190920
IH1912,20190521,0:00:00,2698.8,2706.8,2741.8,2691.6,408,1335,20191220
IH1906,20190522,0:00:00,2716.6,2703.8,2719.8,2686.4,38933,42611,20190621
IH1907,20190522,0:00:00,2695.2,2681,2697.6,2665,810,1264,20190719
IH1909,20190522,0:00:00,2700.4,2690,2709.6,2673.8,4521,10749,20190920
IH1912,20190522,0:00:00,2707,2694.6,2712.2,2680,296,1345,20191220
IH1906,20190523,0:00:00,2690,2666.4,2696,2652,43053,43667,20190621
IH1907,20190523,0:00:00,2664,2644,2677,2630.6,735,1382,20190719
IH1909,20190523,0:00:00,2677.4,2649.2,2680.8,2638.8,5247,11325,20190920
IH1912,20190523,0:00:00,2683.8,2653.6,2688,2642.4,470,1489,20191220
IH1906,20190524,0:00:00,2687,2679,2708.8,2671.6,40964,42298,20190621
IH1907,20190524,0:00:00,2650.4,2657.8,2684,2648.6,947,1696,20190719
IH1909,20190524,0:00:00,2660,2665.4,2691.4,2656.4,4433,10803,20190920
IH1912,20190524,0:00:00,2656.4,2668,2693.6,2656.4,321,1468,20191220
IH1906,20190527,0:00:00,2675,2702.6,2715.2,2645.2,50383,46780,20190621
IH1907,20190527,0:00:00,2657.8,2680.2,2692,2624,1224,1963,20190719
IH1909,20190527,0:00:00,2665.2,2687,2698,2632,4818,11082,20190920
IH1912,20190527,0:00:00,2672,2689.8,2704.6,2633.6,569,1573,20191220
IH1906,20190528,0:00:00,2702.4,2715.6,2739,2699.8,43940,41756,20190621
IH1907,20190528,0:00:00,2680.2,2694.2,2716,2677.6,967,1955,20190719
IH1909,20190528,0:00:00,2687,2700.8,2722.8,2683.6,3860,10803,20190920
IH1912,20190528,0:00:00,2691.8,2701.6,2728.4,2690,372,1530,20191220
IH1906,20190529,0:00:00,2707,2729.6,2762,2702,45189,44281,20190621
IH1907,20190529,0:00:00,2681.6,2707.6,2737.8,2681.6,1041,2128,20190719
IH1909,20190529,0:00:00,2688.4,2713.6,2744.2,2687,4978,11306,20190920
IH1912,20190529,0:00:00,2691,2718,2744.2,2690.4,461,1630,20191220
IH1906,20190530,0:00:00,2735.6,2723,2736,2697,43212,40675,20190621
