,FutureID,ContractNum,Position,Value,Win
20100928,IF1010,1,short,1095865.714285714,True
20100929,IF1010,1,short,1095862.914285714,False
20100930,IF1010,1,long,1090919.114285714,True
20101008,IF1010,1,long,1091019.914285714,True
20101011,IF1010,1,long,1091103.3142857142,True
20101012,IF1010,1,long,1091120.3142857142,True
20101013,IF1010,1,long,1091172.5142857141,True
20101014,IF1010,1,long,1091196.5142857141,True
20101015,,1,,1091196.5142857141,True
20101018,IF1011,1,long,1209794.3142857142,False
20101019,IF1011,1,long,1209888.714285714,True
20101020,IF1011,1,long,1212043.5142857141,True
20101021,,1,,1216747.714285714,
20101022,,1,,1216747.714285714,
20101025,IF1011,1,long,1216814.914285714,True
20101026,IF1011,1,long,1221449.714285714,False
20101027,,1,,1192146.857142857,
20101028,,1,,1192146.857142857,
20101029,,1,,1192146.857142857,
20101101,IF1011,1,long,1192189.057142857,True
20101102,IF1011,1,long,1195858.857142857,False
20101103,,1,,1170739.714285714,
20101104,IF1011,1,long,1170734.5142857141,True
20101105,IF1011,1,short,1182310.3142857142,False
20101108,IF1011,1,short,1182308.714285714,True
20101109,IF1011,1,short,1182342.914285714,True
20101110,IF1011,1,short,1182362.5142857141,True
20101111,IF1011,1,long,1187031.3142857142,False
20101112,IF1011,1,short,1160528.1428571425,True
20101115,IF1011,1,short,1160517.5428571424,True
20101116,IF1011,1,short,1160645.1428571425,True
20101117,IF1011,1,short,1160712.9428571425,True
20101118,IF1011,1,short,1160663.3428571424,False
20101119,,1,,1160663.3428571424,False
20101122,,1,,1270187.1428571425,
20101123,,1,,1270187.1428571425,
20101124,IF1012,1,long,1270182.3428571424,True
20101125,IF1012,1,long,1270212.5428571424,True
20101126,,1,,1271327.1428571425,
20101129,,1,,1271327.1428571425,
20101130,IF1012,1,short,1271339.9428571425,True
20101201,IF1012,1,long,1275031.9428571425,False
20101202,IF1012,1,short,1282384.5428571424,True
20101203,,1,,1285187.1428571425,
20101206,IF1012,1,short,1285187.1428571425,True
20101207,IF1012,1,long,1288552.9428571425,True
20101208,,1,,1290875.1428571425,
20101209,,1,,1290875.1428571425,
20101210,,1,,1290875.1428571425,
20101213,IF1012,1,long,1290926.9428571425,True
20101214,IF1012,1,long,1290929.1428571425,True
20101215,IF1012,1,long,1290904.1428571425,False
20101216,,1,,1294967.1428571425,
20101217,,1,,1294967.1428571425,
20101220,IF1101,1,short,1295017.7428571426,True
20101221,,1,,1302455.1428571425,
20101222,IF1101,1,long,1302392.7428571426,False
20101223,,1,,1278425.1428571425,
20101224,,1,,1278425.1428571425,
20101227,IF1101,1,long,1278312.1428571425,False
20101228,,1,,1245905.1428571425,
20101229,,1,,1245905.1428571425,
20101230,,1,,1245905.1428571425,
20101231,,1,,1245905.1428571425,
20110104,IF1101,1,long,1245893.7428571426,True
20110105,IF1101,1,short,1241286.3428571424,True
20110106,IF1101,1,short,1241300.1428571425,True
20110107,,1,,1243865.1428571425,
20110110,,1,,1243865.1428571425,
20110111,,1,,1243865.1428571425,
20110112,IF1101,1,long,1243864.9428571425,True
20110113,IF1101,1,long,1243858.3428571424,False
20110114,,1,,1226417.9999999995,
20110117,,1,,1226417.9999999995,
20110118,,1,,1226417.9999999995,
20110119,,1,,1226417.9999999995,
20110120,IF1101,1,short,1226488.7999999996,True
20110121,,1,,1231253.9999999995,
20110124,,1,,1231253.9999999995,
20110125,,1,,1231253.9999999995,
20110126,,1,,1231253.9999999995,
20110127,IF1102,1,long,1231277.5999999996,True
20110128,IF1102,1,long,1231292.9999999995,True
20110131,IF1102,1,long,1231326.9999999995,True
20110201,IF1102,1,short,1251161.7999999996,True
20110209,IF1102,1,short,1251208.7999999996,True
20110210,IF1102,1,long,1253710.7999999996,True
20110211,,1,,1255577.9999999995,
20110214,IF1102,1,long,1255655.7999999996,True
20110215,IF1102,1,long,1255643.1999999995,False
20110216,IF1102,1,long,1255672.1999999995,True
20110217,IF1102,1,short,1279385.9999999995,True
20110218,,1,,1279385.9999999995,True
20110221,IF1103,1,long,1284161.1999999995,True
20110222,IF1103,1,short,1286222.7999999996,True
20110223,IF1103,1,short,1286226.9999999995,False
20110224,IF1103,1,short,1286208.9999999995,False
20110225,IF1103,1,long,1300122.9999999995,True
20110228,IF1103,1,long,1300163.5999999996,True
20110301,IF1103,1,short,1311157.9999999995,True
20110302,,1,,1313393.9999999995,
20110303,IF1103,1,long,1313338.9999999995,False
20110304,IF1103,1,long,1313403.9999999995,True
20110307,IF1103,1,long,1313457.5999999996,True
20110308,IF1103,1,long,1313478.7999999996,True
20110309,IF1103,1,short,1333494.1999999995,True
20110310,IF1103,1,short,1333549.5999999996,True
20110311,IF1103,1,short,1333589.3999999994,True
20110314,IF1103,1,short,1333581.1999999995,False
20110315,IF1103,1,short,1333639.9999999995,True
20110316,IF1103,1,long,1363731.9999999995,True
20110317,,1,,1347559.7142857139,
20110318,,1,,1347559.7142857139,
20110321,,1,,1347559.7142857139,
20110322,,1,,1347559.7142857139,
20110323,,1,,1347559.7142857139,
20110324,,1,,1347559.7142857139,
20110325,IF1104,1,long,1347550.1142857138,True
20110328,IF1104,1,long,1347548.314285714,False
20110329,IF1104,1,long,1347525.514285714,False
20110330,,1,,1331423.9999999995,
20110331,IF1104,1,short,1331433.3999999994,True
20110401,IF1104,1,long,1332109.1999999995,True
20110406,IF1104,1,long,1332140.7999999996,True
20110407,IF1104,1,long,1332156.5999999996,True
20110408,IF1104,1,long,1332198.7999999996,True
20110411,IF1104,1,short,1364558.7999999996,True
20110412,IF1104,1,short,1364577.3999999994,True
20110413,IF1104,1,long,1367858.1999999995,True
20110414,IF1104,1,long,1367830.5999999996,False
20110415,,1,,1353893.1428571423,
20110418,IF1105,1,short,1353890.9428571423,True
20110419,IF1105,1,short,1353934.9428571423,True
20110420,IF1105,1,short,1353930.3428571422,True
20110421,,1,,1357313.1428571423,
20110422,,1,,1357313.1428571423,
20110425,,1,,1357313.1428571423,
20110426,,1,,1357313.1428571423,
20110427,IF1105,1,short,1357325.1428571423,True
20110428,IF1105,1,short,1359021.3428571422,True
20110429,IF1105,1,short,1359023.3428571422,False
20110503,IF1105,1,short,1361875.1428571423,False
20110504,IF1105,1,short,1361956.5428571422,True
20110505,IF1105,1,short,1361965.1428571423,False
20110506,IF1105,1,short,1361952.5428571422,False
20110509,IF1105,1,short,1361948.3428571422,False
20110510,IF1105,1,short,1361936.1428571423,False
20110511,IF1105,1,long,1369313.3428571422,False
20110512,IF1105,1,short,1355704.3999999992,True
20110513,,1,,1357733.9999999993,
20110516,IF1105,1,short,1357745.9999999993,True
20110517,IF1105,1,long,1360043.3999999992,True
20110518,IF1105,1,long,1360061.9999999993,True
20110519,IF1105,1,short,1360379.9999999993,True
20110520,,1,,1360379.9999999993,True
20110523,,1,,1364081.9999999993,
20110524,,1,,1364081.9999999993,
20110525,IF1106,1,short,1364079.9999999993,True
20110526,IF1106,1,short,1364102.5999999994,True
20110527,,1,,1365941.9999999993,
20110530,,1,,1365941.9999999993,
20110531,,1,,1365941.9999999993,
20110601,IF1106,1,long,1365942.3999999992,True
20110602,,1,,1355951.9999999993,
20110603,IF1106,1,long,1355960.3999999992,True
20110607,IF1106,1,long,1355968.7999999993,True
20110608,IF1106,1,long,1355980.5999999994,True
20110609,IF1106,1,short,1359162.5999999994,True
20110610,IF1106,1,short,1359173.1999999993,True
20110613,IF1106,1,short,1359165.5999999994,False
20110614,IF1106,1,long,1363385.7999999993,True
20110615,IF1106,1,short,1363156.5999999994,True
20110616,IF1106,1,short,1363196.3999999992,True
20110617,,1,,1363196.3999999992,True
20110620,,1,,1381679.9999999993,
20110621,IF1107,1,long,1381682.7999999993,True
20110622,IF1107,1,short,1382042.5999999994,True
20110623,IF1107,1,short,1370922.1142857133,False
20110624,IF1107,1,long,1349098.1142857133,True
20110627,IF1107,1,long,1349096.7142857134,True
20110628,IF1107,1,long,1349099.3142857135,False
20110629,IF1107,1,short,1364165.9142857133,True
20110630,IF1107,1,short,1350915.257142856,False
20110701,IF1107,1,short,1350900.6571428562,False
20110704,IF1107,1,long,1332455.857142856,True
20110705,IF1107,1,long,1332452.857142856,False
20110706,,1,,1334232.857142856,
20110707,IF1107,1,long,1334206.6571428562,False
20110708,IF1107,1,long,1334213.6571428562,False
20110711,IF1107,1,short,1323853.857142856,True
20110712,IF1107,1,short,1323903.4571428562,True
20110713,IF1107,1,long,1326961.4571428562,True
20110714,IF1107,1,short,1326292.057142856,False
20110715,,1,,1326292.057142856,False
20110718,IF1108,1,long,1321114.6571428562,False
20110719,,1,,1309320.857142856,
20110720,IF1108,1,short,1309327.857142856,True
20110721,IF1108,1,short,1309348.257142856,True
20110722,IF1108,1,long,1311232.057142856,False
20110725,,1,,1297632.857142856,
20110726,,1,,1297632.857142856,
20110727,,1,,1297632.857142856,
20110728,,1,,1297632.857142856,
20110729,IF1108,1,short,1297628.257142856,True
20110801,IF1108,1,short,1297612.057142856,False
20110802,,1,,1300200.857142856,
20110803,IF1108,1,short,1300193.4571428562,False
20110804,IF1108,1,long,1292023.6571428562,False
20110805,,1,,1266480.857142856,
20110808,,1,,1266480.857142856,
20110809,,1,,1266480.857142856,
20110810,IF1108,1,long,1266441.6571428562,False
20110811,,1,,1249380.857142856,
20110812,IF1108,1,long,1249356.257142856,False
20110815,IF1108,1,long,1249391.857142856,True
20110816,IF1108,1,short,1249992.6571428562,True
20110817,IF1108,1,short,1249984.857142856,False
20110818,IF1108,1,short,1250028.6571428562,True
20110819,,1,,1250028.6571428562,True
20110822,IF1109,1,short,1278192.6571428562,True
20110823,IF1109,1,long,1280160.057142856,True
20110824,IF1109,1,short,1280229.6571428562,True
20110825,IF1109,1,long,1274400.857142856,True
20110826,IF1109,1,long,1274382.6571428562,False
20110829,,1,,1278828.857142856,
20110830,IF1109,1,long,1278767.257142856,False
20110831,,1,,1262307.4285714275,
20110901,IF1109,1,short,1262322.6285714274,True
20110902,IF1109,1,short,1262342.2285714275,True
20110905,IF1109,1,short,1262402.2285714275,True
20110906,IF1109,1,short,1262413.4285714275,True
20110907,IF1109,1,short,1262374.6285714274,False
20110908,IF1109,1,short,1262388.2285714275,True
20110909,IF1109,1,short,1262400.6285714274,True
20110913,IF1109,1,short,1262427.8285714274,False
20110914,IF1109,1,short,1262420.0285714276,False
20110915,IF1109,1,short,1262424.8285714274,True
20110916,,1,,1262424.8285714274,True
20110919,,1,,1294167.4285714275,
20110920,,1,,1294167.4285714275,
20110921,,1,,1294167.4285714275,
20110922,IF1110,1,short,1294218.0285714276,True
20110923,IF1110,1,short,1294234.2285714275,False
20110926,IF1110,1,short,1294297.0285714276,True
20110927,IF1110,1,long,1317679.0285714276,True
20110928,IF1110,1,short,1312006.4285714275,True
20110929,IF1110,1,short,1312018.2285714275,False
20110930,IF1110,1,short,1312053.2285714275,True
20111010,IF1110,1,short,1312057.0285714276,True
20111011,,1,,1316523.4285714275,
20111012,,1,,1316523.4285714275,
20111013,IF1110,1,long,1316522.8285714274,True
20111014,IF1110,1,long,1316524.8285714274,False
20111017,IF1110,1,short,1318614.2285714275,True
20111018,IF1110,1,short,1318683.4285714275,True
20111019,IF1110,1,short,1318693.2285714275,True
20111020,IF1110,1,short,1318754.4285714275,True
20111021,,1,,1318754.4285714275,True
20111024,IF1111,1,long,1360287.8285714274,True
20111025,IF1111,1,long,1360333.4285714275,True
20111026,IF1111,1,long,1360374.2285714275,True
20111027,IF1111,1,long,1360387.2285714275,True
20111028,IF1111,1,long,1360414.4285714275,True
20111031,IF1111,1,long,1360405.2285714275,False
20111101,IF1111,1,short,1400643.4285714275,False
20111102,IF1111,1,long,1402539.8285714274,True
20111103,IF1111,1,long,1402510.2285714275,False
20111104,IF1111,1,long,1402536.0285714276,False
20111107,IF1111,1,long,1402518.4285714275,False
20111108,,1,,1407183.4285714275,
20111109,,1,,1407183.4285714275,
20111110,,1,,1407183.4285714275,
20111111,IF1111,1,short,1407196.8285714274,True
20111114,IF1111,1,long,1401207.6285714274,True
20111115,IF1111,1,short,1405204.2285714275,True
20111116,IF1111,1,short,1405267.8285714274,True
20111117,IF1111,1,short,1405274.2285714275,False
20111118,,1,,1405274.2285714275,False
20111121,,1,,1444983.4285714275,
20111122,IF1112,1,long,1444976.2285714275,True
20111123,IF1112,1,short,1440620.8285714274,True
20111124,,1,,1442787.4285714275,
20111125,,1,,1442787.4285714275,
20111128,,1,,1442787.4285714275,
20111129,,1,,1442787.4285714275,
20111130,IF1112,1,short,1442854.6285714274,True
20111201,IF1112,1,short,1445497.6285714274,True
20111202,IF1112,1,short,1445515.8285714274,True
20111205,IF1112,1,short,1445544.6285714274,True
20111206,IF1112,1,short,1445561.2285714275,True
20111207,IF1112,1,long,1462829.2285714275,True
20111208,IF1112,1,short,1458377.0285714276,True
20111209,IF1112,1,short,1458397.2285714275,True
20111212,IF1112,1,short,1458417.8285714274,True
20111213,IF1112,1,short,1458469.2285714275,True
20111214,IF1112,1,short,1458489.0285714276,True
20111215,IF1112,1,short,1458564.4285714275,True
20111216,,1,,1458564.4285714275,True
