,curr_con,curr_con_trend,curr_con_trand2,next_con,next_con_trend,next_con_trend2,curr_con_trend2
20101227,IF1101,-1,,IF1102,,,
20101228,IF1101,,,IF1102,,,
20101229,IF1101,,,IF1102,,,-1.0
20101230,IF1101,,,IF1102,,,-1.0
20101231,IF1101,,,IF1102,,,
20110104,IF1101,,,IF1102,,,
20110105,IF1101,,,IF1102,,,
20110106,IF1101,,,IF1102,,,
20110107,IF1101,,,IF1102,,,
20110110,IF1101,,,IF1102,,,
20110111,IF1101,,,IF1102,,,
20110112,IF1101,,,IF1102,,,
20110113,IF1101,,,IF1102,,,
20110114,IF1101,,,IF1102,,,
20110117,IF1101,-1,,IF1102,-1,,
20110118,IF1101,,,IF1102,,,
20110119,IF1101,,,IF1102,,,
20110120,IF1101,-1,,IF1102,-1,,-1.0
20110121,IF1101,,,IF1102,,,-1.0
20110124,IF1102,,,IF1103,,,-1.0
20110125,IF1102,,,IF1103,,,-1.0
20110126,IF1102,,,IF1103,,,
20110127,IF1102,,,IF1103,,,
20110128,IF1102,,,IF1103,,,
20110131,IF1102,,,IF1103,,,
20110201,IF1102,,,IF1103,,,
20110209,IF1102,,,IF1103,,,
20110210,IF1102,,,IF1103,,,
20110211,IF1102,,,IF1103,,,
20110214,IF1102,1,,IF1103,1,,
20110215,IF1102,,,IF1103,,,
20110216,IF1102,,,IF1103,,,
20110217,IF1102,,,IF1103,,,1.0
20110218,IF1102,,,IF1103,,,
20110221,IF1103,,,IF1104,,,
20110222,IF1103,-1,,IF1104,-1,,
20110223,IF1103,,,IF1104,,,
20110224,IF1103,,,IF1104,,,
20110225,IF1103,,,IF1104,,,
20110228,IF1103,,,IF1104,,,
20110301,IF1103,,,IF1104,,,
20110302,IF1103,,,IF1104,,,
20110303,IF1103,,,IF1104,,,
20110304,IF1103,,,IF1104,,,
20110307,IF1103,,,IF1104,,,
20110308,IF1103,,,IF1104,,,
20110309,IF1103,,,IF1104,,,
20110310,IF1103,,,IF1104,,,
20110311,IF1103,,,IF1104,,,
20110314,IF1103,,,IF1104,,,
20110315,IF1103,,,IF1104,,,
20110316,IF1103,,,IF1104,,,
20110317,IF1103,,,IF1104,,,-1.0
20110318,IF1103,,,IF1104,,,-1.0
20110321,IF1104,,,IF1105,,,-1.0
20110322,IF1104,,,IF1105,,,-1.0
20110323,IF1104,,,IF1105,,,
20110324,IF1104,,,IF1105,,,
20110325,IF1104,,,IF1105,,,
20110328,IF1104,,,IF1105,,,
20110329,IF1104,,,IF1105,,,
20110330,IF1104,,,IF1105,,,
20110331,IF1104,,,IF1105,,,
20110401,IF1104,,,IF1105,,,
20110406,IF1104,,,IF1105,,,
20110407,IF1104,,,IF1105,,,
20110408,IF1104,,,IF1105,,,
20110411,IF1104,,,IF1105,,,
20110412,IF1104,,,IF1105,,,
20110413,IF1104,,,IF1105,,,
20110414,IF1104,,,IF1105,,,
20110415,IF1104,,,IF1105,,,
20110418,IF1105,,,IF1106,,,
20110419,IF1105,,,IF1106,,,
20110420,IF1105,,,IF1106,,,
20110421,IF1105,,,IF1106,,,
20110422,IF1105,,,IF1106,,,
20110425,IF1105,,,IF1106,,,-1.0
20110426,IF1105,,,IF1106,,,-1.0
20110427,IF1105,,,IF1106,,,-1.0
20110428,IF1105,,,IF1106,,,-1.0
20110429,IF1105,,,IF1106,,,-1.0
20110503,IF1105,,,IF1106,,,-1.0
20110504,IF1105,,,IF1106,-1,,-1.0
20110505,IF1105,,,IF1106,,,-1.0
20110506,IF1105,,,IF1106,,,-1.0
20110509,IF1105,,,IF1106,,,-1.0
20110510,IF1105,,,IF1106,,,
20110511,IF1105,,,IF1106,,,
20110512,IF1105,,,IF1106,,,
20110513,IF1105,,,IF1106,,,
20110516,IF1105,,,IF1106,,,
20110517,IF1105,,,IF1106,,,
20110518,IF1105,,,IF1106,,,
20110519,IF1105,,,IF1106,,,
20110520,IF1105,,,IF1106,,,
20110523,IF1106,-1,,IF1107,-1,,
20110524,IF1106,,,IF1107,,,
20110525,IF1106,,,IF1107,,,
20110526,IF1106,,,IF1107,,,-1.0
20110527,IF1106,,,IF1107,,,-1.0
20110530,IF1106,,,IF1107,,,-1.0
20110531,IF1106,,,IF1107,,,
20110601,IF1106,,,IF1107,,,
20110602,IF1106,,,IF1107,,,
20110603,IF1106,,,IF1107,,,
20110607,IF1106,,,IF1107,,,
20110608,IF1106,,,IF1107,,,
20110609,IF1106,,,IF1107,,,
20110610,IF1106,,,IF1107,,,
20110613,IF1106,,,IF1107,,,
20110614,IF1106,,,IF1107,,,
20110615,IF1106,,,IF1107,,,
20110616,IF1106,,,IF1107,,,
20110617,IF1106,,,IF1107,,,
20110620,IF1107,,,IF1108,,,
20110621,IF1107,,,IF1108,,,
20110622,IF1107,,,IF1108,,,-1.0
20110623,IF1107,,,IF1108,,,
20110624,IF1107,1,,IF1108,1,,
20110627,IF1107,,,IF1108,,,
20110628,IF1107,,,IF1108,,1,
20110629,IF1107,,,IF1108,,,
20110630,IF1107,,,IF1108,,,
20110701,IF1107,,,IF1108,,,
20110704,IF1107,,,IF1108,,1,
20110705,IF1107,,,IF1108,,1,
20110706,IF1107,,,IF1108,,,
20110707,IF1107,,,IF1108,,,
20110708,IF1107,,,IF1108,,,
20110711,IF1107,,,IF1108,,,
20110712,IF1107,,,IF1108,,,
20110713,IF1107,,,IF1108,,,
20110714,IF1107,,,IF1108,,,
20110715,IF1107,,,IF1108,,,
20110718,IF1108,,,IF1109,,,
20110719,IF1108,,,IF1109,,,
20110720,IF1108,,,IF1109,,,
20110721,IF1108,,,IF1109,,,
20110722,IF1108,,,IF1109,,,
20110725,IF1108,-1,,IF1109,-1,,
20110726,IF1108,,,IF1109,,,-1.0
20110727,IF1108,,,IF1109,,,-1.0
20110728,IF1108,,,IF1109,,,-1.0
20110729,IF1108,,,IF1109,,,-1.0
20110801,IF1108,,,IF1109,,,
20110802,IF1108,,,IF1109,,,
20110803,IF1108,,,IF1109,,,
20110804,IF1108,,,IF1109,,,
20110805,IF1108,,,IF1109,,,
20110808,IF1108,-1,,IF1109,-1,,
20110809,IF1108,1,,IF1109,1,,-1.0
20110810,IF1108,,,IF1109,,,-1.0
20110811,IF1108,1,,IF1109,1,,
20110812,IF1108,,,IF1109,,,
20110815,IF1108,,,IF1109,,,
20110816,IF1108,,,IF1109,,,
20110817,IF1108,,,IF1109,,,
20110818,IF1108,,,IF1109,,,
20110819,IF1108,,,IF1109,,,
20110822,IF1109,,,IF1110,,,
20110823,IF1109,,,IF1110,,,
20110824,IF1109,,,IF1110,,,
20110825,IF1109,1,,IF1110,1,,
20110826,IF1109,,,IF1110,,,
20110829,IF1109,,,IF1110,,,
20110830,IF1109,,,IF1110,,,
20110831,IF1109,,,IF1110,,,
20110901,IF1109,,,IF1110,,,
20110902,IF1109,,,IF1110,,,
20110905,IF1109,,,IF1110,,,-1.0
20110906,IF1109,,,IF1110,,,-1.0
20110907,IF1109,,,IF1110,,,-1.0
20110908,IF1109,,,IF1110,,,-1.0
20110909,IF1109,,,IF1110,,,-1.0
20110913,IF1109,,,IF1110,,,-1.0
20110914,IF1109,,,IF1110,,,-1.0
20110915,IF1109,,,IF1110,,,-1.0
20110916,IF1109,,,IF1110,,,-1.0
20110919,IF1110,,,IF1111,,,-1.0
20110920,IF1110,,,IF1111,,,-1.0
20110921,IF1110,,,IF1111,,,
20110922,IF1110,,,IF1111,,,
20110923,IF1110,,,IF1111,,,
20110926,IF1110,,,IF1111,,,
20110927,IF1110,,,IF1111,,,
20110928,IF1110,,,IF1111,,,
20110929,IF1110,,,IF1111,,,-1.0
20110930,IF1110,,,IF1111,,,-1.0
20111010,IF1110,,,IF1111,,,-1.0
20111011,IF1110,-1,,IF1111,-1,,-1.0
20111012,IF1110,1,,IF1111,1,,
20111013,IF1110,,,IF1111,,,
20111014,IF1110,,,IF1111,,,
20111017,IF1110,,,IF1111,,,
20111018,IF1110,,,IF1111,,,
20111019,IF1110,,,IF1111,,,
20111020,IF1110,,,IF1111,,,
20111021,IF1110,,,IF1111,,,
20111024,IF1111,,,IF1112,,,
20111025,IF1111,,,IF1112,,,
20111026,IF1111,,,IF1112,,,
20111027,IF1111,,,IF1112,,,
20111028,IF1111,,,IF1112,,,
20111031,IF1111,,,IF1112,,,
20111101,IF1111,,,IF1112,,,
20111102,IF1111,1,,IF1112,1,1,1.0
20111103,IF1111,,,IF1112,,,
20111104,IF1111,,,IF1112,,1,1.0
20111107,IF1111,,,IF1112,,,
20111108,IF1111,,,IF1112,,,
20111109,IF1111,,,IF1112,,,
20111110,IF1111,,,IF1112,,,
20111111,IF1111,,,IF1112,,,
20111114,IF1111,,,IF1112,,,
20111115,IF1111,,,IF1112,,,
20111116,IF1111,-1,,IF1112,-1,,
20111117,IF1111,,,IF1112,,,
20111118,IF1111,,,IF1112,,,
20111121,IF1112,,,IF1201,,,
20111122,IF1112,,,IF1201,,,
20111123,IF1112,,,IF1201,,,-1.0
20111124,IF1112,,,IF1201,,,-1.0
20111125,IF1112,,,IF1201,,,-1.0
20111128,IF1112,,,IF1201,,,-1.0
20111129,IF1112,,,IF1201,,,
20111130,IF1112,-1,,IF1201,-1,,
20111201,IF1112,,,IF1201,,,
20111202,IF1112,,,IF1201,,,
20111205,IF1112,,,IF1201,,,
20111206,IF1112,,,IF1201,,,
20111207,IF1112,,,IF1201,,,
20111208,IF1112,,,IF1201,,,
20111209,IF1112,,,IF1201,,,-1.0
20111212,IF1112,,,IF1201,,,-1.0
20111213,IF1112,,,IF1201,,,-1.0
20111214,IF1112,,,IF1201,,,-1.0
20111215,IF1112,-1,,IF1201,,,-1.0
20111216,IF1112,,,IF1201,,,-1.0
20111219,IF1201,,,IF1202,,,
20111220,IF1201,,,IF1202,,,
20111221,IF1201,,,IF1202,,,
20111222,IF1201,,,IF1202,,,
20111223,IF1201,,,IF1202,,,
20111226,IF1201,,,IF1202,,,
20111227,IF1201,,,IF1202,,,-1.0
20111228,IF1201,,,IF1202,,,-1.0
20111229,IF1201,,,IF1202,,,-1.0
20111230,IF1201,,,IF1202,,,
20120104,IF1201,-1,,IF1202,-1,,
20120105,IF1201,,,IF1202,,,
20120106,IF1201,,,IF1202,,,
20120109,IF1201,1,,IF1202,1,,
20120110,IF1201,1,,IF1202,1,,
20120111,IF1201,,,IF1202,,,
20120112,IF1201,,,IF1202,,,
20120113,IF1201,,,IF1202,,,
20120116,IF1201,,,IF1202,,,
20120117,IF1201,1,,IF1202,1,,
20120118,IF1201,,,IF1202,-1,,
20120119,IF1201,,,IF1202,,,
20120120,IF1201,,,IF1202,,,
20120130,IF1202,,,IF1203,,,
20120131,IF1202,,,IF1203,,,
20120201,IF1202,,,IF1203,,,
20120202,IF1202,,,IF1203,,,
20120203,IF1202,,,IF1203,,,
20120206,IF1202,,,IF1203,,,
20120207,IF1202,,,IF1203,,,
20120208,IF1202,1,,IF1203,1,,
20120209,IF1202,,,IF1203,,,
20120210,IF1202,,,IF1203,,,
20120213,IF1202,,,IF1203,,,
20120214,IF1202,,,IF1203,,,
20120215,IF1202,,,IF1203,,,
20120216,IF1202,,,IF1203,,,
20120217,IF1202,,,IF1203,,,
20120220,IF1203,,,IF1204,,,
20120221,IF1203,,,IF1204,,,
20120222,IF1203,,,IF1204,,,1.0
20120223,IF1203,,,IF1204,,,1.0
20120224,IF1203,,,IF1204,,,1.0
20120227,IF1203,,,IF1204,,,1.0
20120228,IF1203,,,IF1204,,1,1.0
20120229,IF1203,,,IF1204,,,
20120301,IF1203,,,IF1204,,,
20120302,IF1203,,,IF1204,,,
20120305,IF1203,,,IF1204,,,
20120306,IF1203,,,IF1204,,,
20120307,IF1203,,,IF1204,,,
20120308,IF1203,,,IF1204,,,
20120309,IF1203,,,IF1204,,,
20120312,IF1203,,,IF1204,,,
20120313,IF1203,,,IF1204,,,
20120314,IF1203,-1,,IF1204,-1,,
20120315,IF1203,,,IF1204,,,
20120316,IF1203,,,IF1204,,,
20120319,IF1204,,,IF1205,,,
20120320,IF1204,,,IF1205,,,
20120321,IF1204,,,IF1205,,,-1.0
20120322,IF1204,,,IF1205,,,-1.0
20120323,IF1204,,,IF1205,,,-1.0
20120326,IF1204,,,IF1205,,,-1.0
20120327,IF1204,,,IF1205,,,-1.0
20120328,IF1204,-1,,IF1205,-1,,-1.0
20120329,IF1204,,,IF1205,,,-1.0
20120330,IF1204,,,IF1205,,,-1.0
20120405,IF1204,1,,IF1205,,,
20120406,IF1204,,,IF1205,,,
20120409,IF1204,,,IF1205,,,
20120410,IF1204,,,IF1205,,,
20120411,IF1204,,,IF1205,,,
20120412,IF1204,,,IF1205,,1,1.0
20120413,IF1204,,,IF1205,,1,1.0
20120416,IF1204,,,IF1205,,,
20120417,IF1204,,,IF1205,,,
20120418,IF1204,,,IF1205,,,
20120419,IF1204,,,IF1205,,,
20120420,IF1204,,,IF1205,,,
20120423,IF1205,,,IF1206,,,
20120424,IF1205,,,IF1206,,,
20120425,IF1205,,,IF1206,,,
20120426,IF1205,,,IF1206,,,
20120427,IF1205,,,IF1206,,,
20120502,IF1205,,,IF1206,,,
20120503,IF1205,,,IF1206,,,
20120504,IF1205,,,IF1206,,1,1.0
20120507,IF1205,,,IF1206,,,
20120508,IF1205,,,IF1206,,,
20120509,IF1205,,,IF1206,,,
20120510,IF1205,,,IF1206,,,
20120511,IF1205,,,IF1206,,,
20120514,IF1205,,,IF1206,,,
20120515,IF1205,,,IF1206,,,-1.0
20120516,IF1205,,,IF1206,,,-1.0
20120517,IF1205,,,IF1206,,,
20120518,IF1205,,,IF1206,,,
20120521,IF1206,,,IF1207,,,
20120522,IF1206,,,IF1207,,,
20120523,IF1206,,,IF1207,,,
20120524,IF1206,,,IF1207,,,
20120525,IF1206,,,IF1207,,,
20120528,IF1206,,,IF1207,,,
20120529,IF1206,,,IF1207,,,
20120530,IF1206,,,IF1207,,,
20120531,IF1206,,,IF1207,,,
20120601,IF1206,,,IF1207,,,
20120604,IF1206,,,IF1207,,,
20120605,IF1206,,,IF1207,,,
20120606,IF1206,,,IF1207,,,
20120607,IF1206,,,IF1207,,,
20120608,IF1206,,,IF1207,,,
20120611,IF1206,,,IF1207,,,
20120612,IF1206,,,IF1207,,,
20120613,IF1206,,,IF1207,,,
20120614,IF1206,,,IF1207,,,
20120615,IF1206,,,IF1207,,,
20120618,IF1207,,,IF1208,,,
20120619,IF1207,,,IF1208,,,
20120620,IF1207,,,IF1208,,,
20120621,IF1207,,,IF1208,,,
20120625,IF1207,,,IF1208,,,
20120626,IF1207,,,IF1208,,,
20120627,IF1207,,,IF1208,,,-1.0
20120628,IF1207,,,IF1208,,,-1.0
20120629,IF1207,,,IF1208,,,
20120702,IF1207,,,IF1208,,,
20120703,IF1207,,,IF1208,,,
20120704,IF1207,,,IF1208,,,
20120705,IF1207,,,IF1208,,,
20120706,IF1207,,,IF1208,,,
20120709,IF1207,,,IF1208,,,
20120710,IF1207,,,IF1208,,,
20120711,IF1207,,,IF1208,,,
20120712,IF1207,,,IF1208,,,
20120713,IF1207,,,IF1208,,,
20120716,IF1207,,,IF1208,,,
20120717,IF1207,,,IF1208,,,
20120718,IF1207,,,IF1208,,,
20120719,IF1207,,,IF1208,,,
20120720,IF1207,,,IF1208,,,
20120723,IF1208,,,IF1209,,,-1.0
20120724,IF1208,,,IF1209,,,-1.0
20120725,IF1208,,,IF1209,,,-1.0
20120726,IF1208,,,IF1209,,,-1.0
20120727,IF1208,,,IF1209,,,-1.0
20120730,IF1208,,,IF1209,,,-1.0
20120731,IF1208,,,IF1209,,,-1.0
20120801,IF1208,,,IF1209,,,
20120802,IF1208,,,IF1209,,,
20120803,IF1208,,,IF1209,,,
20120806,IF1208,,,IF1209,,,
20120807,IF1208,,,IF1209,,,
20120808,IF1208,,,IF1209,,,
20120809,IF1208,,,IF1209,,,
20120810,IF1208,,,IF1209,,,
20120813,IF1208,,,IF1209,,,
20120814,IF1208,,,IF1209,,,
20120815,IF1208,,,IF1209,,,
20120816,IF1208,,,IF1209,,,
20120817,IF1208,,,IF1209,,,
20120820,IF1209,,,IF1210,,,-1.0
20120821,IF1209,,,IF1210,,,-1.0
20120822,IF1209,,,IF1210,,,-1.0
20120823,IF1209,,,IF1210,,,
20120824,IF1209,,,IF1210,,,
20120827,IF1209,,,IF1210,,,
20120828,IF1209,,,IF1210,,,
20120829,IF1209,,,IF1210,,,
20120830,IF1209,,,IF1210,,,
20120831,IF1209,,,IF1210,,,-1.0
20120903,IF1209,,,IF1210,,,
20120904,IF1209,,,IF1210,,,
20120905,IF1209,,,IF1210,,,
20120906,IF1209,,,IF1210,,,
20120907,IF1209,1,,IF1210,1,,
20120910,IF1209,,,IF1210,,,
20120911,IF1209,,,IF1210,,,
20120912,IF1209,,,IF1210,,,
20120913,IF1209,,,IF1210,,,
20120914,IF1209,,,IF1210,,,
20120917,IF1209,,,IF1210,-1,,
20120918,IF1209,,,IF1210,,,
20120919,IF1209,,,IF1210,,,
20120920,IF1209,,,IF1210,,,
20120921,IF1209,,,IF1210,,,
20120924,IF1210,,,IF1211,,,-1.0
20120925,IF1210,,,IF1211,,,-1.0
20120926,IF1210,,,IF1211,,,-1.0
20120927,IF1210,1,,IF1211,1,,
20120928,IF1210,1,,IF1211,1,,
20121008,IF1210,,,IF1211,,,
20121009,IF1210,,,IF1211,,,
20121010,IF1210,,,IF1211,,,
20121011,IF1210,,,IF1211,,,
20121012,IF1210,,,IF1211,,,
20121015,IF1210,,,IF1211,,,
20121016,IF1210,,,IF1211,,,
20121017,IF1210,,,IF1211,,,
20121018,IF1210,,,IF1211,,,
20121019,IF1210,,,IF1211,,,
20121022,IF1211,,,IF1212,,,
20121023,IF1211,,,IF1212,,,
20121024,IF1211,,,IF1212,,,
20121025,IF1211,,,IF1212,,,
20121026,IF1211,,,IF1212,,,
20121029,IF1211,,,IF1212,,,
20121030,IF1211,,,IF1212,,,-1.0
20121031,IF1211,,,IF1212,,,-1.0
20121101,IF1211,,,IF1212,,,
20121102,IF1211,,,IF1212,,,
20121105,IF1211,,,IF1212,,,
20121106,IF1211,,,IF1212,,,
20121107,IF1211,,,IF1212,,,
20121108,IF1211,,,IF1212,,,
20121109,IF1211,,,IF1212,,,
20121112,IF1211,,,IF1212,,,
20121113,IF1211,,,IF1212,,,-1.0
20121114,IF1211,,,IF1212,,,-1.0
20121115,IF1211,,,IF1212,,,-1.0
20121116,IF1211,,,IF1212,,,-1.0
20121119,IF1212,,,IF1301,,,-1.0
20121120,IF1212,,,IF1301,,,-1.0
20121121,IF1212,,,IF1301,,,
20121122,IF1212,,,IF1301,,,
20121123,IF1212,,,IF1301,,,
20121126,IF1212,,,IF1301,,,
20121127,IF1212,,,IF1301,,,
20121128,IF1212,,,IF1301,,,
20121129,IF1212,,,IF1301,,,
20121130,IF1212,,,IF1301,,,
20121203,IF1212,,,IF1301,,,-1.0
20121204,IF1212,,,IF1301,,,-1.0
20121205,IF1212,1,,IF1301,1,,
20121206,IF1212,,,IF1301,,,
20121207,IF1212,,,IF1301,,,
20121210,IF1212,,,IF1301,,,
20121211,IF1212,,,IF1301,,,
20121212,IF1212,,,IF1301,,,
20121213,IF1212,,,IF1301,,,
20121214,IF1212,1,,IF1301,1,,
20121217,IF1212,,,IF1301,,,
20121218,IF1212,,,IF1301,,,
20121219,IF1212,,,IF1301,,,
20121220,IF1212,,,IF1301,,,
20121221,IF1212,,,IF1301,,,
20121224,IF1301,,,IF1302,,,
20121225,IF1301,1,,IF1302,1,,
20121226,IF1301,,,IF1302,,,
20121227,IF1301,,,IF1302,,,
20121228,IF1301,,,IF1302,,,
20121231,IF1301,,,IF1302,,,
20130104,IF1301,,,IF1302,,1,1.0
20130107,IF1301,,,IF1302,,,
20130108,IF1301,,,IF1302,,,
20130109,IF1301,,,IF1302,,,
20130110,IF1301,,,IF1302,,,
20130111,IF1301,,,IF1302,,,
20130114,IF1301,1,,IF1302,1,,
20130115,IF1301,,,IF1302,,,
20130116,IF1301,,,IF1302,,,
20130117,IF1301,,,IF1302,,,
20130118,IF1301,,,IF1302,,,
20130121,IF1302,,,IF1303,,,
20130122,IF1302,,,IF1303,,,
20130123,IF1302,,,IF1303,,,
20130124,IF1302,,,IF1303,,,
20130125,IF1302,,,IF1303,,,
20130128,IF1302,,,IF1303,,,
20130129,IF1302,,,IF1303,,,
20130130,IF1302,,,IF1303,,,
20130131,IF1302,,,IF1303,,,
20130201,IF1302,,,IF1303,,,
20130204,IF1302,,,IF1303,,1,1.0
20130205,IF1302,,,IF1303,,1,1.0
20130206,IF1302,,,IF1303,,1,1.0
20130207,IF1302,,,IF1303,,,
20130208,IF1302,,,IF1303,,,
20130218,IF1302,,,IF1303,,,
20130219,IF1303,,,IF1304,,,
20130220,IF1303,,,IF1304,,,
20130221,IF1303,-1,,IF1304,-1,,
20130222,IF1303,,,IF1304,,,-1.0
20130225,IF1303,,,IF1304,,,-1.0
20130226,IF1303,,,IF1304,,,-1.0
20130227,IF1303,,,IF1304,,,-1.0
20130228,IF1303,1,,IF1304,1,,
20130301,IF1303,,,IF1304,,,
20130304,IF1303,-1,,IF1304,-1,,
20130305,IF1303,,,IF1304,1,,
20130306,IF1303,,,IF1304,,,
20130307,IF1303,,,IF1304,,,
20130308,IF1303,,,IF1304,,,
20130311,IF1303,,,IF1304,,,
20130312,IF1303,,,IF1304,,,
20130313,IF1303,,,IF1304,,,
20130314,IF1303,,,IF1304,,,
20130315,IF1303,,,IF1304,,,
20130318,IF1304,,,IF1305,,,-1.0
20130319,IF1304,,,IF1305,,,
20130320,IF1304,1,,IF1305,1,,
20130321,IF1304,,,IF1305,,,
20130322,IF1304,,,IF1305,,,
20130325,IF1304,,,IF1305,,,
