,curr_con,curr_con_trend,curr_con_trand2,next_con,next_con_trend,next_con_trend2,curr_con_trend2
20130326,IF1304,,,IF1305,,,
20130327,IF1304,,,IF1305,,,
20130328,IF1304,,,IF1305,,,
20130329,IF1304,,,IF1305,,,
20130401,IF1304,,,IF1305,,,
20130402,IF1304,,,IF1305,,,-1.0
20130403,IF1304,,,IF1305,,,-1.0
20130408,IF1304,,,IF1305,,,-1.0
20130409,IF1304,,,IF1305,,,-1.0
20130410,IF1304,,,IF1305,,,-1.0
20130411,IF1304,,,IF1305,,,-1.0
20130412,IF1304,,,IF1305,,,-1.0
20130415,IF1304,,,IF1305,,,-1.0
20130416,IF1304,,,IF1305,,,-1.0
20130417,IF1304,,,IF1305,,,-1.0
20130418,IF1304,,,IF1305,,,
20130419,IF1304,1,,IF1305,1,,
20130422,IF1305,,,IF1306,,,
20130423,IF1305,-1,,IF1306,-1,,
20130424,IF1305,,,IF1306,,,
20130425,IF1305,,,IF1306,,,
20130426,IF1305,,,IF1306,,,
20130502,IF1305,,,IF1306,,,
20130503,IF1305,,,IF1306,,,
20130506,IF1305,,,IF1306,,,
20130507,IF1305,,,IF1306,,,
20130508,IF1305,,,IF1306,,,
20130509,IF1305,,,IF1306,,,
20130510,IF1305,,,IF1306,,,
20130513,IF1305,,,IF1306,,,
20130514,IF1305,,,IF1306,,,
20130515,IF1305,,,IF1306,,,
20130516,IF1305,,,IF1306,,,
20130517,IF1305,,,IF1306,,,
20130520,IF1306,,,IF1307,,,
20130521,IF1306,,,IF1307,,,
20130522,IF1306,,,IF1307,,,
20130523,IF1306,,,IF1307,,,
20130524,IF1306,,,IF1307,,,
20130527,IF1306,,,IF1307,,,
20130528,IF1306,,,IF1307,,,
20130529,IF1306,,,IF1307,,,
20130530,IF1306,,,IF1307,,,
20130531,IF1306,,,IF1307,,,
20130603,IF1306,,,IF1307,,,
20130604,IF1306,,,IF1307,,,
20130605,IF1306,,,IF1307,,,
20130606,IF1306,,,IF1307,,,
20130607,IF1306,,,IF1307,,,-1.0
20130613,IF1306,-1,,IF1307,-1,,-1.0
20130614,IF1306,,,IF1307,,,-1.0
20130617,IF1306,,,IF1307,,,-1.0
20130618,IF1306,,,IF1307,,,-1.0
20130619,IF1306,,,IF1307,,,-1.0
20130620,IF1306,,,IF1307,,,-1.0
20130621,IF1306,,,IF1307,,,-1.0
20130624,IF1307,-1,,IF1308,-1,,-1.0
20130625,IF1307,,,IF1308,,,-1.0
20130626,IF1307,,,IF1308,,,-1.0
20130627,IF1307,,,IF1308,,,-1.0
20130628,IF1307,,,IF1308,,,
20130701,IF1307,,,IF1308,,,
20130702,IF1307,,,IF1308,,,
20130703,IF1307,,,IF1308,,,
20130704,IF1307,,,IF1308,,,
20130705,IF1307,,,IF1308,,,
20130708,IF1307,,,IF1308,,,
20130709,IF1307,,,IF1308,,,
20130710,IF1307,1,,IF1308,1,,
20130711,IF1307,1,,IF1308,1,,
20130712,IF1307,,,IF1308,,,
20130715,IF1307,,,IF1308,,,
20130716,IF1307,,,IF1308,,,
20130717,IF1307,,,IF1308,,,
20130718,IF1307,,,IF1308,,,
20130719,IF1307,,,IF1308,-1,,
20130722,IF1308,,,IF1309,,,
20130723,IF1308,1,,IF1309,1,,
20130724,IF1308,,,IF1309,,,
