,FutureID,ContractNum,Position,Value,Win
20181105,IF1811,1,short,1119842.9426800008,True
20181106,IF1811,1,short,1119860.542680001,True
20181107,IF1811,1,short,1119891.1426800007,True
20181108,IF1811,1,long,1127789.0926800007,False
20181109,,1,,1127789.0926800007,False
20181112,IF1812,1,long,1111199.1962600008,True
20181113,IF1812,1,long,1111233.596260001,True
20181114,,1,,1111233.596260001,True
20181115,,1,,1111233.596260001,True
20181116,,1,,1111233.596260001,True
20181119,,1,,1111233.596260001,True
20181120,IF1812,1,long,1132901.026200001,False
20181121,IF1812,1,short,1107080.384880001,False
20181122,IF1812,1,long,1094866.3832800009,False
20181123,IF1812,1,short,1086931.348760001,True
20181126,IF1812,1,short,1086937.148760001,True
20181127,IF1812,1,long,1106003.997440001,False
20181128,IF1812,1,long,1106048.797440001,True
20181129,IF1812,1,long,1106015.997440001,False
20181130,IF1812,1,long,1106045.3974400011,True
20181203,IF1812,1,short,1143059.540440001,True
20181204,IF1812,1,short,1143048.740440001,False
20181205,IF1812,1,long,1152810.533320001,True
20181206,IF1812,1,long,1152744.533320001,False
20181207,IF1812,1,short,1142082.217480001,True
20181210,IF1812,1,long,1152989.806720001,False
20181211,,1,,1152989.806720001,False
20181212,IF1812,1,long,1151329.895220001,False
20181213,IF1812,1,short,1150890.0250200012,False
20181214,IF1812,1,long,1141247.9132200014,False
20181217,IF1901,1,short,1129537.4086200015,False
20181218,,1,,1129537.4086200015,False
20181219,,1,,1129537.4086200015,False
20181220,,1,,1129537.4086200015,False
20181221,,1,,1129537.4086200015,False
20181224,,1,,1129537.4086200015,False
20181225,IF1901,1,long,1131614.4922000014,True
20181226,IF1901,1,short,1134693.8548400013,True
20181227,IF1901,1,short,1134703.0548400013,True
20181228,IF1901,1,short,1134702.8548400013,True
20190102,,1,,1134702.8548400013,True
20190103,IF1901,1,short,1136076.4549400015,False
20190104,IF1901,1,long,1139252.9697800016,True
20190107,IF1901,1,long,1139258.7697800016,False
20190108,IF1901,1,long,1139262.1697800015,True
20190109,IF1901,1,short,1175655.4037800017,False
20190110,IF1901,1,long,1175921.6515800017,True
20190111,IF1901,1,long,1175945.2515800016,True
20190114,IF1902,1,long,1171949.4124400017,False
20190115,IF1902,1,short,1166174.969160002,False
20190116,IF1902,1,long,1150349.597240002,True
20190117,,1,,1150349.597240002,True
20190118,,1,,1150349.597240002,True
20190121,,1,,1150349.597240002,True
20190122,IF1902,1,long,1152188.6113200015,False
20190123,IF1902,1,short,1141688.5827200015,True
20190124,IF1902,1,long,1141292.7375600012,True
20190125,IF1902,1,short,1147753.9915600014,False
20190128,IF1902,1,long,1136305.7211600016,False
20190129,IF1902,1,long,1136320.5211600016,True
20190130,IF1902,1,short,1128909.3902400015,True
20190131,IF1902,1,long,1126958.1710000017,True
20190201,IF1902,1,long,1127012.1710000017,True
20190211,,1,,1127012.1710000017,True
20190212,IF1903,1,long,1144968.8628400017,True
20190213,,1,,1144968.8628400017,True
20190214,,1,,1144968.8628400017,True
20190215,,1,,1144968.8628400017,True
20190218,,1,,1144968.8628400017,True
20190219,IF1903,1,long,1151370.3842400017,False
20190220,,1,,1151370.3842400017,False
20190221,IF1903,1,short,1150980.5563000017,False
20190222,IF1903,1,short,1150888.7563000016,False
20190225,IF1903,1,short,1150628.3563000017,False
20190226,IF1903,1,short,1150726.7563000016,True
20190227,IF1903,1,short,1150743.3563000017,True
20190228,IF1903,1,long,1080725.5474600017,False
20190301,IF1903,1,long,1080798.1474600015,True
20190304,IF1903,1,short,1110130.9834600016,False
20190305,IF1903,1,short,1110094.9834600016,False
20190306,IF1903,1,long,1095282.1377400015,True
20190307,IF1903,1,short,1097098.8064600015,True
20190308,IF1903,1,short,1097234.4064600014,True
20190311,IF1904,1,long,1140378.0748000015,True
20190312,,1,,1140378.0748000015,True
20190313,IF1904,1,long,1163054.1440200016,False
20190314,IF1904,1,short,1151355.7942200017,True
20190315,,1,,1151355.7942200017,True
20190318,,1,,1151355.7942200017,True
20190319,IF1904,1,short,1152518.0535800017,True
20190320,IF1904,1,short,1152516.6535800016,False
20190321,IF1904,1,short,1152524.0535800017,True
20190322,IF1904,1,long,1161617.8891800016,True
20190325,IF1904,1,short,1145704.4561800016,True
20190326,IF1904,1,long,1151492.0964200017,False
20190327,IF1904,1,short,1138227.9466200017,False
20190328,IF1904,1,long,1139691.465820002,True
20190329,IF1904,1,long,1139845.8658200018,True
20190401,IF1904,1,long,1139951.6658200019,True
