,curr_mon_con,next_mon_con,curr_mon_PV,next_mon_PV,curr_signal,next_signal,SettleWeekFlag
20190109,IF1901,IF1902,0.272392411116176,0.11927210428518799,1.0,1.0,
20190110,IF1901,IF1902,0.07206549010871889,-0.04899201230227085,1.0,-1.0,
20190111,IF1901,IF1902,0.09034496775973107,-0.0643932627969044,1.0,-1.0,
20190114,IF1901,IF1902,-0.1124893312775959,-0.09275435006849289,-1.0,-1.0,1
20190115,IF1901,IF1902,0.09170489262084507,0.16321755606604757,1.0,1.0,1
20190116,IF1901,IF1902,0.03850605067332967,-0.08135695635137102,1.0,-1.0,1
20190117,IF1901,IF1902,-0.1626919423852399,0.023794261346642306,-1.0,1.0,1
20190118,IF1901,IF1902,-0.21786135988135555,0.20835103342001693,-1.0,1.0,1
20190121,IF1902,IF1903,0.1392119828932451,0.15088407328757583,1.0,1.0,
20190122,IF1902,IF1903,-0.10929317175775662,-0.12856190353473998,-1.0,-1.0,
20190123,IF1902,IF1903,0.1298059825505243,0.17756402498581925,1.0,1.0,
20190124,IF1902,IF1903,-0.07717780015398007,-0.09062244433319533,-1.0,-1.0,
20190125,IF1902,IF1903,0.12663814613334778,0.08823391257676354,1.0,1.0,
20190128,IF1902,IF1903,0.14376912704317218,0.10307909265141832,1.0,1.0,
20190129,IF1902,IF1903,-0.038038416669486305,-0.011701804529767525,-1.0,-1.0,
20190130,IF1902,IF1903,0.08335000693419016,0.004741310493671135,1.0,,
20190131,IF1902,IF1903,0.19674963696465303,0.14320779084931054,1.0,1.0,
20190201,IF1902,IF1903,-0.14053380820519312,-0.18993936576545392,-1.0,-1.0,
20190211,IF1902,IF1903,0.03330467637845643,0.03322180234521753,1.0,1.0,1
20190212,IF1902,IF1903,0.031554445983010354,-0.0003299037699118367,1.0,,1
20190213,IF1902,IF1903,-0.053880286404139686,0.08365320258229478,-1.0,1.0,1
20190214,IF1902,IF1903,-0.06704725815182226,0.019078132603587244,-1.0,1.0,1
20190215,IF1902,IF1903,0.03572965983460715,-0.10171144350598897,1.0,-1.0,1
20190218,IF1903,IF1904,0.10812374546990593,0.12926872931102226,1.0,1.0,
20190219,IF1903,IF1904,0.00012855516087910881,0.012229124690359137,,1.0,
20190220,IF1903,IF1904,-0.04779186280515014,0.0178591538936021,-1.0,1.0,
20190221,IF1903,IF1904,-0.015079039162013457,-0.08233877934296653,-1.0,-1.0,
20190222,IF1903,IF1904,-0.18801139421654245,0.017687313510451375,-1.0,1.0,
20190225,IF1903,IF1904,-0.1050225045572832,0.0672161057820174,-1.0,1.0,
20190226,IF1903,IF1904,-0.04175967593837168,-0.016383568566514732,-1.0,-1.0,
20190227,IF1903,IF1904,0.10453969246196874,-0.0829108103671606,1.0,-1.0,
20190228,IF1903,IF1904,0.09576136504409179,0.11097854389169864,1.0,1.0,
20190301,IF1903,IF1904,-0.10384619509304979,-0.22179970542399008,-1.0,-1.0,
20190304,IF1903,IF1904,-0.027391263652311964,-0.13568051994887936,-1.0,-1.0,
20190305,IF1903,IF1904,0.0771162043179705,0.05147493962166136,1.0,1.0,
20190306,IF1903,IF1904,-0.11140766876643295,0.00998678499085042,-1.0,,
20190307,IF1903,IF1904,-0.03570167233040814,0.004647329913362929,-1.0,,
20190308,IF1903,IF1904,0.18441110347846845,0.14383859927880682,1.0,1.0,
20190311,IF1903,IF1904,-0.0014476903267809317,-0.13335359219800327,,-1.0,1
20190312,IF1903,IF1904,0.11775800902206622,0.10555071894420115,1.0,1.0,1
20190313,IF1903,IF1904,-0.09814141957342053,-0.09113814058133335,-1.0,-1.0,1
20190314,IF1903,IF1904,-0.0014908195145296984,0.11165243824192832,,1.0,1
20190315,IF1903,IF1904,-0.013859759295778139,0.018839515360188797,-1.0,1.0,1
20190318,IF1904,IF1905,-0.03972097972706988,0.1373884549688689,-1.0,1.0,
20190319,IF1904,IF1905,-0.08364428919211199,-0.08955274077791783,-1.0,-1.0,
20190320,IF1904,IF1905,-0.02208809807053339,0.11553614693267554,-1.0,1.0,
20190321,IF1904,IF1905,0.07635671062601526,0.0576085801959061,1.0,1.0,
20190322,IF1904,IF1905,-0.060792461165385975,-0.10437468791999363,-1.0,-1.0,
20190325,IF1904,IF1905,0.06781543741981906,0.011840938450120313,1.0,1.0,
20190326,IF1904,IF1905,-0.06053697808135437,-0.01438366699472995,-1.0,-1.0,
20190327,IF1904,IF1905,0.07727238239559876,-0.05517334457958477,1.0,-1.0,
20190328,IF1904,IF1905,0.033740473219833825,-0.0318060211869867,1.0,-1.0,
20190329,IF1904,IF1905,0.16318518492706807,0.11644069970267351,1.0,1.0,
20190401,IF1904,IF1905,0.16652093836154583,-0.0038132080265666614,1.0,,
20190402,IF1904,IF1905,-0.15718764584329628,-0.24935731659851285,-1.0,-1.0,
20190403,IF1904,IF1905,-0.022808198470629874,-0.018947437794568513,-1.0,-1.0,
20190404,IF1904,IF1905,-0.0760656880503578,-0.04799968615755067,-1.0,-1.0,
20190408,IF1904,IF1905,-0.10888615725138939,-0.20061427332912335,-1.0,-1.0,
20190409,IF1904,IF1905,0.07802485532192843,0.028471551294531838,1.0,1.0,
20190410,IF1904,IF1905,-0.06683559311591276,-0.10672297248910076,-1.0,-1.0,
20190411,IF1904,IF1905,-0.07369262436606829,-0.30143631069115806,-1.0,-1.0,
20190412,IF1904,IF1905,-0.16999510324028533,-0.22979177648330673,-1.0,-1.0,
20190415,IF1904,IF1905,0.08167701173960544,-0.12301313444070389,1.0,-1.0,1
20190416,IF1904,IF1905,-0.04103732875291142,0.04165848991926495,-1.0,1.0,1
20190417,IF1904,IF1905,0.10351986380209474,-0.16690643780057807,1.0,-1.0,1
20190418,IF1904,IF1905,0.11938511964545488,-0.16493019382251337,1.0,-1.0,1
20190419,IF1904,IF1905,-0.024264905137322892,-0.02145431819486887,-1.0,-1.0,1
20190422,IF1905,IF1906,-0.13764517569372808,-0.0384632394082738,-1.0,-1.0,
20190423,IF1905,IF1906,0.008588269912007904,0.06175383526894953,,1.0,
20190424,IF1905,IF1906,-0.1950033547676699,-0.054244363834008553,-1.0,-1.0,
20190425,IF1905,IF1906,0.06214292599951582,0.1948602479976773,1.0,1.0,
20190426,IF1905,IF1906,-0.006416610551375687,0.15572044509410155,,1.0,
20190429,IF1905,IF1906,0.056792423306987284,0.1832012165661143,1.0,1.0,
20190430,IF1905,IF1906,0.0047287943326941775,0.10991120413586479,,1.0,
20190506,IF1905,IF1906,-0.1078556474546207,-0.14204396719623874,-1.0,-1.0,
20190507,IF1905,IF1906,-0.11770670204445093,0.04166170786201681,-1.0,1.0,
20190508,IF1905,IF1906,0.12058470122327775,0.26887775046700785,1.0,1.0,
20190509,IF1905,IF1906,-0.031453458081241954,0.011775826082509414,-1.0,1.0,
